county,month_year,total_sales
Fayette,2020-02,217
Fayette,2020-03,289
Fayette,2020-04,246
Fayette,2020-05,218
Fayette,2020-06,320
Fayette,2020-07,302
Fayette,2020-08,387
Fayette,2020-09,357
Fayette,2020-10,358
Fayette,2020-11,303
Fayette,2020-12,333
Fayette,2021-01,260
Fayette,2021-02,255
Fayette,2021-03,306
Fayette,2021-04,332
Fayette,2021-05,336
Fayette,2021-06,376
Fayette,2021-07,391
Fayette,2021-08,364
Fayette,2021-09,314
Fayette,2021-10,312
Fayette,2021-11,292
Fayette,2021-12,337
Fayette,2022-01,218
Fayette,2022-02,263
Fayette,2022-03,323
Fayette,2022-04,320
Fayette,2022-05,358
Fayette,2022-06,385
Fayette,2022-07,361
Fayette,2022-08,331
Fayette,2022-09,309
Fayette,2022-10,234
Fayette,2022-11,242
Fayette,2022-12,310
Fayette,2023-01,172
Fayette,2023-02,164
Fayette,2023-03,239
Fayette,2023-04,207
Fayette,2023-05,243
Fayette,2023-06,174
Fayette,2023-07,263
Fayette,2023-08,238
Fayette,2023-09,185
Fayette,2023-10,161
Fayette,2023-11,161
Fayette,2023-12,163
Fayette,2024-01,151
Fayette,2024-02,147
Fayette,2024-03,171
Fayette,2024-04,171
Fayette,2024-05,205
Fayette,2024-06,187
Fayette,2024-07,235
Fayette,2024-08,176
Fayette,2024-09,130
Fayette,2024-10,150
Fayette,2024-11,166
Fayette,2024-12,142
Fayette,2025-01,112
Fayette,2025-02,146
Fayette,2025-03,170
Fayette,2025-04,174
Fayette,2025-05,198
Fayette,2025-06,210
Fayette,2025-07,179
Fayette,2025-08,203
Fayette,2025-09,225
Fayette,2025-10,189
Fayette,2025-11,154
Fayette,2025-12,233
Forsyth,2013-01,381
Forsyth,2013-02,393
Forsyth,2013-03,502
Forsyth,2013-04,620
Forsyth,2013-05,575
Forsyth,2013-06,647
Forsyth,2013-07,739
Forsyth,2013-08,670
Forsyth,2013-09,573
Forsyth,2013-10,651
Forsyth,2013-11,571
Forsyth,2013-12,543
Forsyth,2014-01,446
Forsyth,2014-02,461
Forsyth,2014-03,586
Forsyth,2014-04,635
Forsyth,2014-05,754
Forsyth,2014-06,877
Forsyth,2014-07,791
Forsyth,2014-08,744
Forsyth,2014-09,690
Forsyth,2014-10,647
Forsyth,2014-11,540
Forsyth,2014-12,607
Forsyth,2015-01,500
Forsyth,2015-02,439
Forsyth,2015-03,638
Forsyth,2015-04,696
Forsyth,2015-05,712
Forsyth,2015-06,802
Forsyth,2015-07,784
Forsyth,2015-08,758
Forsyth,2015-09,715
Forsyth,2015-10,622
Forsyth,2015-11,554
Forsyth,2015-12,654
Forsyth,2016-01,465
Forsyth,2016-02,496
Forsyth,2016-03,716
Forsyth,2016-04,696
Forsyth,2016-05,860
Forsyth,2016-06,942
Forsyth,2016-07,816
Forsyth,2016-08,855
Forsyth,2016-09,702
Forsyth,2016-10,657
Forsyth,2016-11,615
Forsyth,2016-12,673
Forsyth,2017-01,434
Forsyth,2017-02,428
Forsyth,2017-03,640
Forsyth,2017-04,587
Forsyth,2017-05,819
Forsyth,2017-06,875
Forsyth,2017-07,775
Forsyth,2017-08,721
Forsyth,2017-09,616
Forsyth,2017-10,595
Forsyth,2017-11,636
Forsyth,2017-12,715
Forsyth,2018-01,494
Forsyth,2018-02,477
Forsyth,2018-03,674
Forsyth,2018-04,687
Forsyth,2018-05,943
Forsyth,2018-06,886
Forsyth,2018-07,848
Forsyth,2018-08,818
Forsyth,2018-09,658
Forsyth,2018-10,697
Forsyth,2018-11,661
Forsyth,2018-12,601
Forsyth,2019-01,467
Forsyth,2019-02,482
Forsyth,2019-03,681
Forsyth,2019-04,745
Forsyth,2019-05,794
Forsyth,2019-06,852
Forsyth,2019-07,835
Forsyth,2019-08,737
Forsyth,2019-09,685
Forsyth,2019-10,583
Forsyth,2019-11,602
Forsyth,2019-12,678
Forsyth,2020-01,455
Forsyth,2020-02,551
Forsyth,2020-03,648
Forsyth,2020-04,578
Forsyth,2020-05,477
Forsyth,2020-06,760
Forsyth,2020-07,910
Forsyth,2020-08,921
Forsyth,2020-09,842
Forsyth,2020-10,783
Forsyth,2020-11,691
Forsyth,2020-12,816
Forsyth,2021-01,583
Forsyth,2021-02,573
Forsyth,2021-03,791
Forsyth,2021-04,826
Forsyth,2021-05,845
Forsyth,2021-06,916
Forsyth,2021-07,881
Forsyth,2021-08,877
Forsyth,2021-09,813
Forsyth,2021-10,759
Forsyth,2021-11,647
Forsyth,2021-12,766
Forsyth,2022-01,551
Forsyth,2022-02,552
Forsyth,2022-03,667
Forsyth,2022-04,710
Forsyth,2022-05,778
Forsyth,2022-06,830
Forsyth,2022-07,700
Forsyth,2022-08,691
Forsyth,2022-09,577
Forsyth,2022-10,477
Forsyth,2022-11,398
Forsyth,2022-12,412
Forsyth,2023-01,264
Forsyth,2023-02,384
Forsyth,2023-03,488
Forsyth,2023-04,498
Forsyth,2023-05,535
Forsyth,2023-06,459
Forsyth,2023-07,488
Forsyth,2023-08,442
Forsyth,2023-09,425
Forsyth,2023-10,418
Forsyth,2023-11,363
Forsyth,2023-12,358
Forsyth,2024-01,327
Forsyth,2024-02,377
Forsyth,2024-03,435
Forsyth,2024-04,467
Forsyth,2024-05,501
Forsyth,2024-06,466
Forsyth,2024-07,569
Forsyth,2024-08,487
Forsyth,2024-09,346
Forsyth,2024-10,484
Forsyth,2024-11,354
Forsyth,2024-12,441
Forsyth,2025-01,316
Forsyth,2025-02,296
Forsyth,2025-03,386
Forsyth,2025-04,433
Forsyth,2025-05,455
Forsyth,2025-06,510
Forsyth,2025-07,438
Forsyth,2025-08,284
Forsyth,2025-09,466
Forsyth,2025-10,440
Forsyth,2025-11,338
Forsyth,2025-12,502
Fulton,2013-01,1875
Fulton,2013-02,1675
Fulton,2013-03,1949
Fulton,2013-04,2467
Fulton,2013-05,2410
Fulton,2013-06,2572
Fulton,2013-07,2678
Fulton,2013-08,2528
Fulton,2013-09,2300
Fulton,2013-10,2190
Fulton,2013-11,1766
Fulton,2013-12,1925
Fulton,2014-01,1533
Fulton,2014-02,1663
Fulton,2014-03,2142
Fulton,2014-04,2230
Fulton,2014-05,2430
Fulton,2014-06,2612
Fulton,2014-07,2355
Fulton,2014-08,2433
Fulton,2014-09,2305
Fulton,2014-10,2193
Fulton,2014-11,1633
Fulton,2014-12,1926
Fulton,2015-01,1558
Fulton,2015-02,1561
Fulton,2015-03,2267
Fulton,2015-04,2402
Fulton,2015-05,2333
Fulton,2015-06,2780
Fulton,2015-07,2695
Fulton,2015-08,2730
Fulton,2015-09,2253
Fulton,2015-10,1923
Fulton,2015-11,1858
Fulton,2015-12,2207
Fulton,2016-01,1728
Fulton,2016-02,1800
Fulton,2016-03,2276
Fulton,2016-04,2370
Fulton,2016-05,2713
Fulton,2016-06,2753
Fulton,2016-07,2406
Fulton,2016-08,2711
Fulton,2016-09,2333
Fulton,2016-10,2099
Fulton,2016-11,2117
Fulton,2016-12,2456
Fulton,2017-01,1800
Fulton,2017-02,1923
Fulton,2017-03,2640
Fulton,2017-04,2414
Fulton,2017-05,3143
Fulton,2017-06,3043
Fulton,2017-07,2630
Fulton,2017-08,2878
Fulton,2017-09,2450
Fulton,2017-10,2528
Fulton,2017-11,2279
Fulton,2017-12,2450
Fulton,2018-01,1982
Fulton,2018-02,2001
Fulton,2018-03,2784
Fulton,2018-04,2761
Fulton,2018-05,3269
Fulton,2018-06,3186
Fulton,2018-07,2958
Fulton,2018-08,2883
Fulton,2018-09,2353
Fulton,2018-10,2699
Fulton,2018-11,2372
Fulton,2018-12,2256
Fulton,2019-01,2159
Fulton,2019-02,2072
Fulton,2019-03,2597
Fulton,2019-04,2830
Fulton,2019-05,3087
Fulton,2019-06,2954
Fulton,2019-07,3187
Fulton,2019-08,2947
Fulton,2019-09,2843
Fulton,2019-10,2893
Fulton,2019-11,2484
Fulton,2019-12,2937
Fulton,2020-01,2375
Fulton,2020-02,2569
Fulton,2020-03,2931
Fulton,2020-04,2191
Fulton,2020-05,2208
Fulton,2020-06,2956
Fulton,2020-07,3464
Fulton,2020-08,3402
Fulton,2020-09,3373
Fulton,2020-10,3350
Fulton,2020-11,2839
Fulton,2020-12,3414
Fulton,2021-01,2347
Fulton,2021-02,2459
Fulton,2021-03,3370
Fulton,2021-04,3391
Fulton,2021-05,3393
Fulton,2021-06,3659
Fulton,2021-07,3441
Fulton,2021-08,3474
Fulton,2021-09,3246
Fulton,2021-10,2957
Fulton,2021-11,2943
Fulton,2021-12,3381
Fulton,2022-01,2440
Fulton,2022-02,2687
Fulton,2022-03,3632
Fulton,2022-04,3432
Fulton,2022-05,3601
Fulton,2022-06,3492
Fulton,2022-07,2854
Fulton,2022-08,2963
Fulton,2022-09,2515
Fulton,2022-10,2180
Fulton,2022-11,1857
Fulton,2022-12,1868
Fulton,2023-01,1346
Fulton,2023-02,1652
Fulton,2023-03,2289
Fulton,2023-04,2075
Fulton,2023-05,2195
Fulton,2023-06,2074
Fulton,2023-07,1997
Fulton,2023-08,2191
Fulton,2023-09,1852
Fulton,2023-10,1947
Fulton,2023-11,1496
Fulton,2023-12,1729
Fulton,2024-01,1399
Fulton,2024-02,1496
Fulton,2024-03,1915
Fulton,2024-04,2089
Fulton,2024-05,2144
Fulton,2024-06,1993
Fulton,2024-07,2146
Fulton,2024-08,2092
Fulton,2024-09,1743
Fulton,2024-10,2030
Fulton,2024-11,1609
Fulton,2024-12,1875
Fulton,2025-01,1457
Fulton,2025-02,1435
Fulton,2025-03,1931
Fulton,2025-04,2059
Fulton,2025-05,2229
Fulton,2025-06,2192
Fulton,2025-07,1979
Fulton,2025-08,1506
Fulton,2025-09,1606
Fulton,2025-10,1565
Fulton,2025-11,866
Fulton,2025-12,2055
Gwinnett,2013-01,1275
Gwinnett,2013-02,1150
Gwinnett,2013-03,1254
Gwinnett,2013-04,1430
Gwinnett,2013-05,1507
Gwinnett,2013-06,1509
Gwinnett,2013-07,1646
Gwinnett,2013-08,1614
Gwinnett,2013-09,1464
Gwinnett,2013-10,1572
Gwinnett,2013-11,1265
Gwinnett,2013-12,1356
Gwinnett,2014-01,1188
Gwinnett,2014-02,1149
Gwinnett,2014-03,1411
Gwinnett,2014-04,1507
Gwinnett,2014-05,1646
Gwinnett,2014-06,1761
Gwinnett,2014-07,1757
Gwinnett,2014-08,1678
Gwinnett,2014-09,1519
Gwinnett,2014-10,1429
Gwinnett,2014-11,1101
Gwinnett,2014-12,1388
Gwinnett,2015-01,1054
Gwinnett,2015-02,1002
Gwinnett,2015-03,1408
Gwinnett,2015-04,1554
Gwinnett,2015-05,1640
Gwinnett,2015-06,1828
Gwinnett,2015-07,1811
Gwinnett,2015-08,1667
Gwinnett,2015-09,1605
Gwinnett,2015-10,1425
Gwinnett,2015-11,1226
Gwinnett,2015-12,1553
Gwinnett,2016-01,1195
Gwinnett,2016-02,1236
Gwinnett,2016-03,1674
Gwinnett,2016-04,1770
Gwinnett,2016-05,1848
Gwinnett,2016-06,2045
Gwinnett,2016-07,1768
Gwinnett,2016-08,2029
Gwinnett,2016-09,1761
Gwinnett,2016-10,1622
Gwinnett,2016-11,1490
Gwinnett,2016-12,1641
Gwinnett,2017-01,1233
Gwinnett,2017-02,1241
Gwinnett,2017-03,1707
Gwinnett,2017-04,1540
Gwinnett,2017-05,1970
Gwinnett,2017-06,1975
Gwinnett,2017-07,1873
Gwinnett,2017-08,1947
Gwinnett,2017-09,1626
Gwinnett,2017-10,1642
Gwinnett,2017-11,1420
Gwinnett,2017-12,1712
Gwinnett,2018-01,1267
Gwinnett,2018-02,1225
Gwinnett,2018-03,1670
Gwinnett,2018-04,1735
Gwinnett,2018-05,2128
Gwinnett,2018-06,2085
Gwinnett,2018-07,2050
Gwinnett,2018-08,1948
Gwinnett,2018-09,1684
Gwinnett,2018-10,1738
Gwinnett,2018-11,1565
Gwinnett,2018-12,1629
Gwinnett,2019-01,1293
Gwinnett,2019-02,1242
Gwinnett,2019-03,1557
Gwinnett,2019-04,1732
Gwinnett,2019-05,2016
Gwinnett,2019-06,1849
Gwinnett,2019-07,2045
Gwinnett,2019-08,1948
Gwinnett,2019-09,1793
Gwinnett,2019-10,1916
Gwinnett,2019-11,1597
Gwinnett,2019-12,1860
Gwinnett,2020-01,1399
Gwinnett,2020-02,1424
Gwinnett,2020-03,1787
Gwinnett,2020-04,1463
Gwinnett,2020-05,1392
Gwinnett,2020-06,1924
Gwinnett,2020-07,2143
Gwinnett,2020-08,2003
Gwinnett,2020-09,1970
Gwinnett,2020-10,2067
Gwinnett,2020-11,1873
Gwinnett,2020-12,2195
Gwinnett,2021-01,1555
Gwinnett,2021-02,1470
Gwinnett,2021-03,2078
Gwinnett,2021-04,2053
Gwinnett,2021-05,2047
Gwinnett,2021-06,2542
Gwinnett,2021-07,2394
Gwinnett,2021-08,2454
Gwinnett,2021-09,2275
Gwinnett,2021-10,2132
Gwinnett,2021-11,2032
Gwinnett,2021-12,2168
Gwinnett,2022-01,1555
Gwinnett,2022-02,1625
Gwinnett,2022-03,2326
Gwinnett,2022-04,2103
Gwinnett,2022-05,2183
Gwinnett,2022-06,2245
Gwinnett,2022-07,1890
Gwinnett,2022-08,1966
Gwinnett,2022-09,1662
Gwinnett,2022-10,1422
Gwinnett,2022-11,1398
Gwinnett,2022-12,1282
Gwinnett,2023-01,840
Gwinnett,2023-02,1101
Gwinnett,2023-03,1511
Gwinnett,2023-04,1278
Gwinnett,2023-05,1464
Gwinnett,2023-06,1233
Gwinnett,2023-07,1275
Gwinnett,2023-08,1458
Gwinnett,2023-09,1206
Gwinnett,2023-10,1203
Gwinnett,2023-11,1095
Gwinnett,2023-12,1064
Gwinnett,2024-01,992
Gwinnett,2024-02,986
Gwinnett,2024-03,1191
Gwinnett,2024-04,1262
Gwinnett,2024-05,1517
Gwinnett,2024-06,1370
Gwinnett,2024-07,1331
Gwinnett,2024-08,1321
Gwinnett,2024-09,1223
Gwinnett,2024-10,1266
Gwinnett,2024-11,1048
Gwinnett,2024-12,1192
Gwinnett,2025-01,981
Gwinnett,2025-02,896
Gwinnett,2025-03,1141
Gwinnett,2025-04,1220
Gwinnett,2025-05,1304
Gwinnett,2025-06,1259
Gwinnett,2025-07,1359
Gwinnett,2025-08,1173
Gwinnett,2025-09,1300
Gwinnett,2025-10,1039
Gwinnett,2025-11,817
Gwinnett,2025-12,1698
Henry,2013-01,362
Henry,2013-02,347
Henry,2013-03,358
Henry,2013-04,402
Henry,2013-05,375
Henry,2013-06,399
Henry,2013-07,403
Henry,2013-08,425
Henry,2013-09,383
Henry,2013-10,366
Henry,2013-11,282
Henry,2013-12,370
Henry,2014-01,305
Henry,2014-02,315
Henry,2014-03,342
Henry,2014-04,439
Henry,2014-05,442
Henry,2014-06,466
Henry,2014-07,513
Henry,2014-08,480
Henry,2014-09,449
Henry,2014-10,411
Henry,2014-11,361
Henry,2014-12,381
Henry,2015-01,271
Henry,2015-02,291
Henry,2015-03,386
Henry,2015-04,407
Henry,2015-05,402
Henry,2015-06,455
Henry,2015-07,499
Henry,2015-08,497
Henry,2015-09,440
Henry,2015-10,425
Henry,2015-11,362
Henry,2015-12,382
Henry,2016-01,367
Henry,2016-02,356
Henry,2016-03,518
Henry,2016-04,470
Henry,2016-05,532
Henry,2016-06,528
Henry,2016-07,542
Henry,2016-08,603
Henry,2016-09,498
Henry,2016-10,466
Henry,2016-11,444
Henry,2016-12,513
Henry,2017-01,374
Henry,2017-02,412
Henry,2017-03,577
Henry,2017-04,514
Henry,2017-05,635
Henry,2017-06,633
Henry,2017-07,547
Henry,2017-08,558
Henry,2017-09,546
Henry,2017-10,527
Henry,2017-11,480
Henry,2017-12,531
Henry,2018-01,413
Henry,2018-02,433
Henry,2018-03,558
Henry,2018-04,580
Henry,2018-05,637
Henry,2018-06,676
Henry,2018-07,667
Henry,2018-08,700
Henry,2018-09,551
Henry,2018-10,688
Henry,2018-11,501
Henry,2018-12,547
Henry,2019-01,419
Henry,2019-02,431
Henry,2019-03,583
Henry,2019-04,580
Henry,2019-05,682
Henry,2019-06,671
Henry,2019-07,597
Henry,2019-08,544
Henry,2019-09,828
Henry,2019-10,724
Henry,2019-11,526
Henry,2019-12,612
Henry,2020-01,426
Henry,2020-02,479
Henry,2020-03,579
Henry,2020-04,497
Henry,2020-05,476
Henry,2020-06,666
Henry,2020-07,752
Henry,2020-08,742
Henry,2020-09,786
Henry,2020-10,738
Henry,2020-11,614
Henry,2020-12,784
Henry,2021-01,614
Henry,2021-02,522
Henry,2021-03,672
Henry,2021-04,678
Henry,2021-05,639
Henry,2021-06,775
Henry,2021-07,786
Henry,2021-08,826
Henry,2021-09,722
Henry,2021-10,698
Henry,2021-11,692
Henry,2021-12,810
Henry,2022-01,564
Henry,2022-02,723
Henry,2022-03,948
Henry,2022-04,889
Henry,2022-05,925
Henry,2022-06,842
Henry,2022-07,752
Henry,2022-08,783
Henry,2022-09,660
Henry,2022-10,577
Henry,2022-11,543
Henry,2022-12,518
Henry,2023-01,360
Henry,2023-02,388
Henry,2023-03,522
Henry,2023-04,449
Henry,2023-05,486
Henry,2023-06,420
Henry,2023-07,440
Henry,2023-08,502
Henry,2023-09,445
Henry,2023-10,480
Henry,2023-11,414
Henry,2023-12,404
Henry,2024-01,302
Henry,2024-02,309
Henry,2024-03,358
Henry,2024-04,455
Henry,2024-05,449
Henry,2024-06,396
Henry,2024-07,452
Henry,2024-08,448
Henry,2024-09,385
Henry,2024-10,419
Henry,2024-11,343
Henry,2024-12,352
Henry,2025-01,286
Henry,2025-02,331
Henry,2025-03,327
Henry,2025-04,438
Henry,2025-05,434
Henry,2025-06,398
Henry,2025-07,401
Henry,2025-08,350
Henry,2025-09,491
Henry,2025-10,485
Henry,2025-11,301
Henry,2025-12,431
Rockdale,2013-01,211
Rockdale,2013-02,171
Rockdale,2013-03,140
Rockdale,2013-04,154
Rockdale,2013-05,136
Rockdale,2013-06,176
Rockdale,2013-07,185
Rockdale,2013-08,188
Rockdale,2013-09,131
Rockdale,2013-10,159
Rockdale,2013-11,129
Rockdale,2013-12,127
Rockdale,2014-01,125
Rockdale,2014-02,125
Rockdale,2014-03,163
Rockdale,2014-04,145
Rockdale,2014-05,152
Rockdale,2014-06,145
Rockdale,2014-07,173
Rockdale,2014-08,159
Rockdale,2014-09,168
Rockdale,2014-10,141
Rockdale,2014-11,112
Rockdale,2014-12,149
Rockdale,2015-01,112
Rockdale,2015-02,100
Rockdale,2015-03,161
Rockdale,2015-04,154
Rockdale,2015-05,132
Rockdale,2015-06,170
Rockdale,2015-07,152
Rockdale,2015-08,137
Rockdale,2015-09,148
Rockdale,2015-10,123
Rockdale,2015-11,114
Rockdale,2015-12,134
Rockdale,2016-01,109
Rockdale,2016-02,109
Rockdale,2016-03,161
Rockdale,2016-04,145
Rockdale,2016-05,164
Rockdale,2016-06,176
Rockdale,2016-07,151
Rockdale,2016-08,188
Rockdale,2016-09,161
Rockdale,2016-10,174
Rockdale,2016-11,124
Rockdale,2016-12,170
Rockdale,2017-01,134
Rockdale,2017-02,112
Rockdale,2017-03,187
Rockdale,2017-04,186
Rockdale,2017-05,208
Rockdale,2017-06,209
Rockdale,2017-07,174
Rockdale,2017-08,184
Rockdale,2017-09,173
Rockdale,2017-10,188
Rockdale,2017-11,162
Rockdale,2017-12,199
Rockdale,2018-01,135
Rockdale,2018-02,144
Rockdale,2018-03,191
Rockdale,2018-04,206
Rockdale,2018-05,258
Rockdale,2018-06,236
Rockdale,2018-07,216
Rockdale,2018-08,234
Rockdale,2018-09,194
Rockdale,2018-10,224
Rockdale,2018-11,187
Rockdale,2018-12,197
Rockdale,2019-01,170
Rockdale,2019-02,150
Rockdale,2019-03,180
Rockdale,2019-04,211
Rockdale,2019-05,220
Rockdale,2019-06,255
Rockdale,2019-07,247
Rockdale,2019-08,260
Rockdale,2019-09,255
Rockdale,2019-10,228
Rockdale,2019-11,213
Rockdale,2019-12,242
Rockdale,2020-01,185
Rockdale,2020-02,176
Rockdale,2020-03,250
Rockdale,2020-04,183
Rockdale,2020-05,173
Rockdale,2020-06,218
Rockdale,2020-07,254
Rockdale,2020-08,253
Rockdale,2020-09,280
Rockdale,2020-10,288
Rockdale,2020-11,260
Rockdale,2020-12,291
Rockdale,2021-01,199
Rockdale,2021-02,223
Rockdale,2021-03,274
Rockdale,2021-04,273
Rockdale,2021-05,230
Rockdale,2021-06,285
Rockdale,2021-07,281
Rockdale,2021-08,313
Rockdale,2021-09,263
Rockdale,2021-10,245
Rockdale,2021-11,267
Rockdale,2021-12,271
Rockdale,2022-01,225
Rockdale,2022-02,218
Rockdale,2022-03,296
Rockdale,2022-04,236
Rockdale,2022-05,247
Rockdale,2022-06,291
Rockdale,2022-07,303
Rockdale,2022-08,257
Rockdale,2022-09,267
Rockdale,2022-10,235
Rockdale,2022-11,199
Rockdale,2022-12,163
Rockdale,2023-01,130
Rockdale,2023-02,143
Rockdale,2023-03,178
Rockdale,2023-04,163
Rockdale,2023-05,185
Rockdale,2023-06,148
Rockdale,2023-07,167
Rockdale,2023-08,177
Rockdale,2023-09,138
Rockdale,2023-10,143
Rockdale,2023-11,167
Rockdale,2023-12,144
Rockdale,2024-01,117
Rockdale,2024-02,104
Rockdale,2024-03,147
Rockdale,2024-04,166
Rockdale,2024-05,189
Rockdale,2024-06,144
Rockdale,2024-07,161
Rockdale,2024-08,144
Rockdale,2024-09,141
Rockdale,2024-10,145
Rockdale,2024-11,108
Rockdale,2024-12,127
Rockdale,2025-01,141
Rockdale,2025-02,107
Rockdale,2025-03,138
Rockdale,2025-04,166
Rockdale,2025-05,168
Rockdale,2025-06,148
Rockdale,2025-07,135
Rockdale,2025-08,156
Rockdale,2025-09,179
Rockdale,2025-10,188
Rockdale,2025-11,162
Rockdale,2025-12,166